content_id,Name,Year,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
255,Good Witch,2019,7.3,9034,Comedy.Drama.Fantasy,48,Series,TV-PG,76,None,None,None,None,None
256,Sex/Life,2019,5.3,16568,Comedy.Drama.Romance,NULL,Series,TV-MA,9,Severe,None,Moderate,Mild,None
257,Buffy the Vampire Slayer,2019,8.2,137622,Action.Drama.Fantasy,44,Series,TV-14,145,Moderate,Moderate,Mild,Mild,Moderate
258,Beetle Juice,1988,7.5,277189,Comedy.Fantasy,92,Film,PG,1,Mild,Moderate,Moderate,Mild,Moderate
259,Magnum P.I.,1988,5.9,10579,Action.Adventure.Crime,43,Series,TV-14,61,None,Mild,Mild,Mild,Mild
260,Friendzone,2021,5.9,1379,Comedy.Romance,88,Film,TV-MA,1,Moderate,None,Mild,Mild,None
261,The Nightmare Before Christmas,1993,8,311747,Animation.Family.Fantasy,76,Film,PG,1,None,Mild,None,None,Moderate
262,Interstellar,2014,8.6,1624116,Adventure.Drama.Sci-Fi,169,Film,PG-13,1,None,Mild,Mild,None,Moderate
263,The Rocky Horror Picture Show,1975,7.4,139351,Comedy.Horror.Musical,100,Film,R,1,Moderate,Mild,Mild,Mild,Mild
264,Pig,2021,6.9,33733,Drama.Thriller,92,Film,R,1,None,Moderate,Moderate,Mild,Moderate
265,The Orville,2021,8,64211,Adventure.Comedy.Drama,44,Series,TV-14,37,Mild,Mild,Mild,Mild,Mild
266,Endeavour,2021,8.6,21802,Crime.Drama.Mystery,89,Series,TV-14,33,Mild,Moderate,Mild,Mild,Mild
267,Batoru rowaiaru,2000,7.6,176302,Action.Adventure.Drama,114,Film,Not Rated,1,Mild,Severe,Mild,Mild,Severe
268,Homeland,2000,8.3,326240,Crime.Drama.Mystery,55,Series,TV-MA,96,Severe,Moderate,Moderate,Mild,Moderate
269,Halloween,2007,6.1,113922,Horror,109,Film,R,1,Severe,Severe,Severe,Mild,Severe
270,Knock Knock,2015,4.9,89175,Drama.Thriller,99,Film,R,1,Severe,Moderate,Severe,Mild,Moderate
271,The Dark Knight,2008,9,2428117,Action.Crime.Drama,152,Film,PG-13,1,None,Moderate,Mild,Mild,Severe
272,Two and a Half Men,2008,7,249542,Comedy.Romance,22,Series,TV-14,262,Moderate,Mild,Moderate,Severe,None
273,The Protégé,2021,6.1,13778,Action.Crime.Thriller,109,Film,R,1,Mild,Severe,Moderate,Mild,Moderate
274,I Know What You Did Last Summer,2021,5.1,1135,Horror.Mystery.Thriller,45,Series,TV-14,8,Moderate,Moderate,Severe,Severe,Severe
275,Parks and Recreation,2021,8.6,233155,Comedy,22,Series,TV-14,124,Mild,Mild,Mild,Mild,None
276,Star Trek: Lower Decks,2021,7.2,12261,Animation.Action.Adventure,25,Series,TV-MA,30,Mild,Moderate,Mild,Mild,Mild
277,One Piece: Wan pîsu,2021,8.8,86612,Animation.Action.Adventure,24,Series,TV-14,995,Mild,Moderate,Mild,Moderate,Moderate
278,Ghostbusters: Afterlife,2021,NULL,NULL,Comedy.Fantasy,NULL,Film,PG-13,1,No Rate,No Rate,No Rate,No Rate,No Rate
279,A Quiet Place Part II,2020,7.3,165973,Drama.Horror.Sci-Fi,97,Film,PG-13,1,None,Moderate,Mild,None,Severe
280,Cobra Kai,2020,8.6,127699,Action.Comedy.Drama,30,Series,TV-14,41,Mild,Moderate,Moderate,Moderate,Mild
281,FBI: Most Wanted,2020,6.8,5342,Action.Crime.Drama,45,Series,TV-14,34,Mild,Moderate,Mild,Moderate,Moderate
282,Don't Breathe 2,2021,6.1,29241,Action.Drama.Horror,98,Film,R,1,None,Severe,Moderate,Mild,Severe
283,House of Wax,2005,5.4,119934,Horror.Thriller,113,Film,R,1,Mild,Severe,Moderate,Mild,Severe
284,Wonder Woman 1984,2020,5.4,233753,Action.Adventure.Fantasy,151,Film,PG-13,1,Mild,Mild,Mild,None,Mild
285,Zack Snyder's Justice League,2021,8.1,340603,Action.Adventure.Fantasy,242,Film,R,1,None,Moderate,Mild,Mild,Moderate
286,A Million Little Things,2021,7.9,10844,Comedy.Drama.Romance,43,Series,TV-14,63,Mild,None,Mild,Mild,Mild
287,Reservation Dogs,2021,8.2,5946,Comedy.Crime,30,Series,TV-MA,9,None,None,Severe,Mild,No Rate
288,Mad Men,2021,8.6,220406,Drama,47,Series,TV-14,92,Moderate,Mild,Mild,Severe,Mild
289,Killers of the Flower Moon,2021,NULL,NULL,Crime.Drama.History,NULL,Film,NULL,1,No Rate,No Rate,No Rate,No Rate,No Rate
290,The Goldbergs,2021,8,34243,Comedy,22,Series,TV-PG,192,Mild,None,Mild,Mild,None
291,Nobody,2021,7.4,164357,Action.Crime.Drama,92,Film,R,1,None,Severe,Severe,Mild,Severe
292,The Tomorrow War,2021,6.6,170217,Action.Adventure.Drama,138,Film,PG-13,1,None,Moderate,Mild,Mild,Moderate
293,1917,2019,8.3,497055,Action.Drama.War,119,Film,R,1,None,Severe,Moderate,Mild,Severe
294,Cowboy Bebop,2019,NULL,NULL,Action.Adventure.Crime,NULL,Series,TV-14,10,No Rate,No Rate,No Rate,No Rate,No Rate
295,Sweet Home,2019,7.4,14574,Drama.Fantasy.Horror,52,Series,TV-MA,10,None,Severe,Moderate,Moderate,Severe
296,The 355,2022,NULL,NULL,Action.Thriller,NULL,Film,PG-13,1,No Rate,No Rate,No Rate,No Rate,No Rate
297,Station 19,2022,6.7,11053,Action.Drama.Romance,60,Series,TV-14,63,Mild,Moderate,Mild,Mild,Moderate
298,Law & Order,2022,7.7,33951,Crime.Drama.Mystery,45,Series,TV-14,457,Mild,Moderate,Mild,Moderate,Moderate
299,The Hunger Games,2012,7.2,874403,Action.Adventure.Sci-Fi,142,Film,PG-13,1,None,Moderate,Mild,Mild,Moderate
300,Jennifer's Body,2009,5.3,125403,Comedy.Horror,102,Film,R,1,Mild,Severe,Severe,Mild,Severe
301,Prison Break,2009,8.3,499859,Action.Crime.Drama,44,Series,TV-14,90,Mild,Moderate,Mild,Mild,Moderate
302,House of Gucci,2021,NULL,NULL,Crime.Drama.Thriller,NULL,Film,R,1,No Rate,No Rate,No Rate,No Rate,No Rate
303,Outer Banks,2021,7.6,36571,Action.Crime.Drama,50,Series,TV-MA,20,Mild,Mild,Moderate,Moderate,Moderate
304,Braqueurs,2021,7,1440,Action.Crime.Drama,44,Series,TV-MA,6,Mild,Severe,Severe,Severe,Mild
305,The Power of the Dog,2021,6.6,2853,Drama.Romance.Western,126,Film,R,1,Moderate,Mild,Mild,Moderate,Mild
306,Halloween II,1981,6.5,81417,Horror,92,Film,R,1,Moderate,Severe,Moderate,Mild,Severe
307,Sherlock,1981,9.1,853642,Crime.Drama.Mystery,88,Series,TV-14,15,Mild,Moderate,Mild,Moderate,Moderate
